Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Data Engineer,Basecamp Consulting & Solutions LLC,"Reston, VA",$100K - $145K (Employer est.),"Benefits:
401(k) matching
Competitive salary
Health insurance
Paid time off

Must be in the DC - Metro Area and able to come onsite to Reston VA 1-2 days a week

Reports to: Account Executive
Status: Permanent, Full-time
Hybrid, Northern Virginia


Established in August 2016, Basecamp Consulting and Solutions, LLC is a dynamic Information Technology (IT) consulting firm committed to delivering results for our clients. Specializing in next-generation IT and digital transformation solutions, Basecamp Consulting and Solutions is dedicated to helping clients achieve success through trust, innovation, quality work, and a steadfast commitment to results.

At Basecamp, we believe in the power of emerging technologies to propel our clients toward their goals. Our focus lies in business and IT modernization, utilizing Cloud solutions, cybersecurity, and cutting-edge application development. We pride ourselves on a team of talented professionals who are passionate about supporting our clients on their journey towards innovative outcomes.

Basecamp Consulting and Solutions is dedicated to pushing the boundaries of IT consulting and we are equally committed to embodying these principles in every facet of our work. Our head-office is located in Reston, VA.


As technical expert, all things data related to developing innovative technologies and solution roadmaps including maintaining an understanding of the key capabilities, utilize their analytical, statistical, and programming skills to collect, analyze, and interpret large data sets. They then use this information to develop data-driven solutions to difficult business challenges







Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-basecamp-consulting-solutions-llc-JV_IC1130404_KO0,13_KE14,47.htm?jl=1009441345235"
Data Engineer/Python data Engineer,Effone software inc,Remote,$48.00 - $55.00 Per Hour (Employer est.),"Python Data Engineer About: We are looking for a data engineer with experience in developing pipelines in Python and GCP Project Duration: Long Term: 12 to 24 months Location: USA Remote 100%; Must be available during East Coast hours. Skills: • The following are required skills: o GCP
o Big Data
o Big Query
o Dataflow
o Must have proficiency in Python building pipelines.
o Strong knowledge of SQL and one or more databases such as Oracle, SQL Server, MySQL, or Postgres is required.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-python-data-engineer-effone-software-inc-JV_KO0,34_KE35,54.htm?jl=1009441871725"
Data Engineer,CGT Staffing,Texas,$93K - $99K (Employer est.),"The Data Engineer is responsible for building, maintaining, and ensuring data production pipelines run smoothly. This role will monitor data pipelines for our data analytics platform, proactively diagnose and resolve issues, enhance pipeline components as needed, and develop support tools to enable non-technical support staff to troubleshoot common issues over time. In addition, this role will implement methods to improve data reliability and quality as well as develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling. This role may perform these duties in Cloud, non-Cloud, and hybrid environments.
Essential Duties & Responsibilities
Analyze and organize raw data sets to meet both functional and non-functional requirements
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-cgt-staffing-JV_KO0,13_KE14,26.htm?jl=1009441036911"
Data Platform Engineer,Owner,Remote,$153K - $175K (Employer est.),"About Owner.com

Owner is the all-in-one platform that restaurants use to succeed online.

Thousands of restaurant owners use our tools to build their website, drive online orders, create their own branded app, manage their customer relationships, and set up marketing automations.

You can think of it as Shopify meets HubSpot, but specifically for restaurants.

Learn more about the problems we are solving for our customers here.















Show more",N/A,5d,"https://www.glassdoor.com/job-listing/data-platform-engineer-owner-JV_KO0,22_KE23,28.htm?jl=1009436151817"
Ld Data Engineer-I,Progressive Technology Solutions,"Baltimore, MD",$67.00 - $72.00 Per Hour (Employer est.),"Title: Ld Data Engineer
Contract: 9 Months
Location: Remote in DMV areas
Job Description:
Qualifications
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable
accommodations may be made to enable individuals with disabilities to perform the essential functions.
Education Level: Bachelor's Degree
Education Details: Computer Science, Information Technology or Engineering or related field
Experience: 8 years Experience in leading data engineering and cross functional team to implement scalable and fine tuned ETL/ELT solutions for optimal performance. Experience developing and updating ETL/ELT scripts. Hands-on experience with application development, relational database layout, development, data modeling.
In Lieu of Education
In lieu of a Bachelor's degree, an additional 4 years of relevant work experience is required in addition to the required work experience.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/ld-data-engineer-i-progressive-technology-solutions-JV_IC1153527_KO0,18_KE19,51.htm?jl=1009441199376"
Advanced Data Engineer,Kroger Tech & Digital,"Blue Ash, OH",$91K - $122K (Glassdoor est.),"The Kroger team is looking for a Data Engineer experienced in implementing data solutions in Azure. The Data Engineer will analyze, design, and develop enterprise data and information architecture deliverables, focusing on data as a product for the enterprise.
Accountable for leading activities that create deliverables to guide the direction, development, and delivery of technological responses to targeted business outcomes. Provide facilitation, analysis and design tasks required for the development of an enterprise's data and information architecture, focusing on data as an asset for the enterprise. Develop reusable standards, design patterns, guidelines, and configurations to evolve the technical infrastructure related to data and information across the enterprise, including direct collaboration with 84.51. Demonstrate the company's core values of respect, honesty, integrity, diversity, inclusion and safety.From one tiny Cincinnati grocery store more than a century ago, we've grown into what today is the nation's largest grocer with nearly 2,800 stores in 35 states operating under 28 different names. As America's grocer, we take pride in bringing diverse teams with a passion for food and people together with one common purpose: To Feed the Human Spirit. With a history of innovation, we work tirelessly to create amazing experiences for our customers, communities AND each other, with food at the heart of it all.



Show more",N/A,24h,"https://www.glassdoor.com/job-listing/advanced-data-engineer-kroger-tech-digital-JV_IC1163220_KO0,22_KE23,42.htm?jl=1009440237543"
Data Engineer,Agree Technologies and Solutions,"Boise, ID",$71K - $106K (Glassdoor est.),"Agree Technologies has opportunities in the following areas. If you are interested and would like to be considered for opportunities, please submit your resume to agree@agreetechsol.com

Data Engineer
Position Overview:
We are seeking a talented and experienced Data Engineer to join our dynamic team. The ideal candidate will have a passion for data, an analytical mindset, and a proven track record of designing, building, and maintaining scalable data systems. As a Data Engineer, you will play a crucial role in optimizing our data infrastructure, ensuring data integrity, and enabling data-driven decision-making across the organization.
Show more",N/A,14d,"https://www.glassdoor.com/job-listing/data-engineer-agree-technologies-and-solutions-JV_IC1127927_KO0,13_KE14,46.htm?jl=1009422015491"
Data Analytics Engineer,NTCA- The Rural Broadband Association,"Asheville, NC",$90K - $128K (Glassdoor est.),"NTCA – The Rural Broadband Association is looking for a Data Analytics Engineer to join our Information Technology group. This position will report to the Data and Business Analysis Manager. You will have the opportunity to produce datasets for users internal and external to NTCA that guide analysis and inform decision making, develop business requirements for new and existing data extracts and reports, document data workflows and provide solutions and develop reports that combine data from multiple sources and extracts.
What will you do?
Proactively collaborate with external and internal customers to analyze data and system requirements. Provide datasets to users that inform data-driven decisions.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-analytics-engineer-ntca-the-rural-broadband-association-JV_IC1138579_KO0,23_KE24,60.htm?jl=1009437446909"
Data Engineer,TEC Systems Group,"Wichita, KS",$71K - $115K (Glassdoor est.),"Job Description and Application
We do not engage with recruiters or recruitment agencies to fill our job openings. Applicants should apply directly through our website.
Position Title: Data Engineer
Location: Wichita, KS (On-site)
Job Type: Full Time, Salary (Exempt)
Salary Range: Competitive, based on experience
Benefits: This position is fully eligible for our comprehensive benefits package, which includes outstanding health insurance, a 401(k) plan with company match, paid time off, and extensive opportunities for professional growth and development.
Overview
Show more",N/A,25d,"https://www.glassdoor.com/job-listing/data-engineer-tec-systems-group-JV_IC1151230_KO0,13_KE14,31.htm?jl=1009408580426"
SPRING + SUMMER 2025 CO-OP – SOFTWARE DEVELOPER / DATA ENGINEER,Ellington Management Group,"Old Greenwich, CT",$88K - $146K (Glassdoor est.),"SPRING + SUMMER 2025 CO-OP – SOFTWARE DEVELOPER / DATA ENGINEER

Ellington Management Group is looking for Spring + Summer Co-Ops with exceptional programming and analytical skills.

As a Co-Op, you will be responsible for the following:

Work with Python / Selenium / (or equivalent scripting tool) to automate the retrieval of data from various websites. The Co-op will be involved in programming the tool to generate a script file that will be executed by a service to automate the extraction / retrieval of data.











Show more",N/A,24h,"https://www.glassdoor.com/job-listing/spring-summer-2025-co-op-software-developer-data-engineer-ellington-management-group-JV_IC1148345_KO0,57_KE58,84.htm?jl=1009441311607"
Sr. Data Engineer (US),Craft.co,United States,$160K (Employer est.),"About the Role:

Craft is looking for an experienced and motivated Senior Data Engineer to join our team. At Craft, you will be a core member of one of our feature teams, building data products and solutions that drives our innovation in Supply Chain Risk Management.

At Craft, we give our engineers a lot of responsibility, autonomy, and ownership of their domain areas. This is matched by our investment in your growth and development, both in working with smart and experienced colleagues and in taking advantage of hackathons, conferences, and our internal tech chapters. We are growing quickly, and the only limits to your future growth with Craft are your interests and abilities!







Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/sr-data-engineer-us-craft-co-JV_KO0,19_KE20,28.htm?jl=1009373451605"
"Senior Data Engineer / ETL Developer - Indianapolis, IN.",CSpring,"Indianapolis, IN",$76K - $116K (Glassdoor est.),"Description:
Title: Senior Data Engineer
Related Titles: ETL Developer, Principal Data Engineer, Senior Data Architect
Location: Indianapolis, IN
Office Environment: Hybrid
Start Date: Immediate
Summary
Come join the CSpring family be a part of our exciting growth story! We're on the lookout for fantastic leaders at every career stage to join our dynamic team. Together, we're all about unlocking potential – whether it's for our clients, colleagues, or the communities we serve. We achieve this through the delivery of cutting-edge, data-driven solutions, advanced technology platforms, and unparalleled expertise.
Requirements:
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/senior-data-engineer-etl-developer-indianapolis-in-cspring-JV_IC1145013_KO0,50_KE51,58.htm?jl=1009441292758"
Data Engineer,Strada Education Foundation,"Washington, DC",$112K - $132K (Employer est.),"As a founding Data Engineer at CredLens, you will play a crucial role in designing, building, and maintaining our data infrastructure.

You will work closely within a small, cohesive team, including software engineers and data scientists, to build a secure and high-quality data platform that supports our mission to provide actionable insights for non-degree credentials.

This is a green-field build-out of a new national non-profit, reporting directly to the CTO, providing an exciting opportunity to shape the future of our platform as well as the opportunity to develop into leadership or architectural lead roles.

You will leverage both SQL and Python languages to work with native AWS data mesh technologies such as Glue and Redshift, as well as Snowflake and Airbyte. You’ll leverage SQLMesh and DBT for the initial development and build rules within the brighthive.io data orchestration platform. As such, there will be incrementally increasing amounts of software development within the data platform, but starting with a substantial amount of DBT/SQLMesh configuration tasks.


















Show more",N/A,25d,"https://www.glassdoor.com/job-listing/data-engineer-strada-education-foundation-JV_IC1138213_KO0,13_KE14,41.htm?jl=1009409190132"
